"TIEMPO, HRS",LECTURA CABEZA,,"TIEMPOS, HRS",LECTURA LINEA,,,DATOS PARA LA MEDICIÓN,,,,"INTER TIME, HRS",INTER LECTURA CABEZA,INTER LECTURA LINEA,,"GASTO, MMPCD",,PRESIÓN CABEZA,PRESIÓN LINEA,Delta P,,,,,,,,,"GASTO PROMEDIO,  MMPCD"
4.947527243,7.144637314,,4.945311587,8.56350126,,,,,,,4.945311587,7.145327635,8.56350126,,0.734428602,,1021.11414,733.3355383,287.778602,,,,,,,,,
5.0753026,7.131372142,,5.072744408,8.568124383,,,,,,,5.072744408,7.131637724,8.568124383,,0.727757914,,1017.205133,734.1275545,283.0775782,,,,,,,,,
5.140492481,7.149535757,,5.135934193,8.562835835,,,,,,,5.135934193,7.148265698,8.562835835,,0.735796945,,1021.95405,733.2215754,288.7324744,,,,,,,,,
5.204055673,7.145486383,,5.19922645,8.557502201,,,,,,,5.19922645,7.145794034,8.557502201,,0.735720351,,1021.247448,732.3084392,288.9390085,,,,,,,,,
5.330329413,7.145354703,,5.261871235,8.575559218,,,,,,,5.261871235,7.145426092,8.575559218,,0.732259573,,1021.142281,735.402159,285.7401216,,,,,,,,,
5.385103013,7.138801626,,5.324007571,8.577791298,,,,,,,5.324007571,7.145361295,8.577791298,,0.731820956,,1021.123761,735.7850356,285.3387252,,,,,,,,,
5.45569103,7.127077792,,5.386101705,8.580041947,,,,,,,5.386101705,7.138635756,8.580041947,,0.728537349,,1019.202409,736.1711981,283.0312109,,,,,,,,,
5.51840388,7.131079369,,5.573957774,8.551063719,,,,,,,5.573957774,7.138600895,8.551063719,,0.733844079,,1019.192455,731.2069073,287.9855474,,,,,,,,,
5.580410588,7.139474551,,5.635033207,8.560693081,,,,,,,5.635033207,7.14693851,8.560693081,,0.735624518,,1021.574601,732.8546603,288.7199411,,,,,,,,,
5.642230694,7.147922017,,5.697915858,8.547975131,,,,,,,5.697915858,7.134996585,8.547975131,,0.732879539,,1018.163525,730.6787884,287.484737,,,,,,,,,
5.704703713,7.133421014,,5.753565487,8.548123848,,,,,,,5.753565487,7.141445034,8.548123848,,0.735582631,,1020.004743,730.7042132,289.3005302,,,,,,,,,
5.766192475,7.143518622,,5.820700423,8.553402614,,,,,,,5.820700423,7.136119791,8.553402614,,0.732366009,,1018.484114,731.6069628,286.8771507,,,,,,,,,
5.828169215,7.135105988,,5.887727158,8.558728987,,,,,,,5.887727158,7.126995716,8.558728987,,0.727514696,,1015.881359,732.5184187,283.3629401,,,,,,,,,
5.89033355,7.126640792,,5.949844652,8.55336358,,,,,,,5.949844652,7.141070155,8.55336358,,0.734471644,,1019.897659,731.6002853,288.2973738,,,,,,,,,
